id,nome,descricao,criado_em
1,ranking_conteudos_consumidos,Ranking conteudos consumidos,2025-08-04 22:53:02
2,plataforma_maior_engajamento,Plataforma maior engajamento,2025-08-04 22:53:02
3,total_de_engajamentos_por_plataforma,Total de engajamentos por plataforma,2025-08-04 22:53:02
4,conteudos_mais_comentados,Conteudos mais comentados,2025-08-04 22:53:02
5,interacoes_por_tipo_conteudo,Interacoes por tipo conteudo,2025-08-04 22:53:02
6,tempo_medio_por_plataforma,Tempo medio por plataforma,2025-08-04 22:53:02
7,comentarios_por_conteudo,Comentarios por conteudo,2025-08-04 22:53:02
8,conteudos_mais_assistidos_por_plataforma,Conteudos mais assistidos por plataforma,2025-08-04 22:53:02
9,relatorios_sql,Relatorios sql,2025-08-04 22:53:02
